from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,year,transferfenster,transferid
BVB,POL1,Borussia Dortmund,Lech Posen,Robert Lewandowski,4.750.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/38253/transfer_id/430539
BVB,AUS1,Borussia Dortmund,Melbourne Victory,Mitchell Langerak,500.000,3,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/49347/transfer_id/713492
BVB,GER2,Borussia Dortmund,TSV 1860 Muenchen,Moritz Leitner,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/82243/transfer_id/497095
BVB,GER2,Borussia Dortmund,Karlsruher SC,Antonia da Silva,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1919/transfer_id/441402
BVB,GER2,Borussia Dortmund,Hertha BSC,Lukasz Pisczek,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/25727/transfer_id/419673
BVB,JAP1,Borussia Dortmund,Cerezo Osaka,Shinji Kagawa,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/81785/transfer_id/417870
ESP1,BVB,Hercules Alicante,Borussia Dortmund,Nelson Haedo Valdez,3.500.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/2050/transfer_id/468387
ISR1,BVB,Maccabi Tel Aviv,Borussia Dortmund,Dimitar Rangelov,200.000,3,2,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39912/transfer_id/476189
GER2,BVB,FC Augsburg,Borussia Dortmund,Moritz Leitner,150.000,3,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/82243/transfer_id/513158
GER2,BVB,FC Energie Cottbus,Borussia Dortmund,Uwe Huenemeier,100.000,2,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/10503/transfer_id/422078
GER2,BVB,MSV Duisburg,Borussia Dortmund,Julian Koch,50.000,2,2,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/53534/transfer_id/419405
BRA1,BVB,SC Internacional Porto Alegre,Borussia Dortmund,Tinga,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/15978/transfer_id/410015
TUR1,BVB,Genclerbirligi Ankara,Borussia Dortmund,Yasin Oeztekin,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31867/transfer_id/517548
GER2,BVB,1.FC Union Berlin,Borussia Dortmund,Marcel Hoettecke,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/40462/transfer_id/413988
FCB,TSG,FC Bayern Muenchen,TSG 1899 Hoffenheim,Luiz Gustavo,17.000.000,7,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/10471/transfer_id/516770
ESP1,FCB,FC Malaga,FC Bayern Muenchen,Martin Demichelis,3.000.000,5,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2963/transfer_id/513211
ITA1,FCB,SSC Neapel,FC Bayern Muenchen,Jose Sosa,3.000.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/20137/transfer_id/473954
ITA1,FCB,Genua CFC,FC Bayern Muenchen,Luca Toni,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/5980/transfer_id/432171
ITA1,FCB,AC Mailand,FC Bayern Muenchen,Mark van Bommel,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3515/transfer_id/531365
GER2,FCB,Hertha BSC,FC Bayern Muenchen,Christian Lell,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/2233/transfer_id/435939
GER2,FCB,FC Ingolstadt 04,FC Bayern Muenchen,Andreas Goerlitz,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1742/transfer_id/421767
S04,ITA1,FC Schalke 04,AC Mailand,Klaas Jan Huntelaar,14.000.000,7,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/4357/transfer_id/474259
S04,ESP1,FC Schalke 04,Atletico Madrid,Jose Manuel Jurado,11.000.000,7,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/28261/transfer_id/474454
S04,ROU1,FC Schalke 04,CFR Cluj,Ciprian Deac,3.000.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/43300/transfer_id/472986
S04,ESP3,FC Schalke 04,Real Murcia,Sergio Escudero,2.300.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/93935/transfer_id/460719
S04,NOR1,FC Schalke 04,Rosenborg BK,Anthony Annan,2.000.000,5,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/29122/transfer_id/532731
S04,GRE1,FC Schalke 04,Olympiakos Piraeus,Kyriakos Papadopoulos,2.000.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/58489/transfer_id/435940
S04,JAP1,FC Schalke 04,Kashima Antlers,Atsuto Uchida,1.300.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/27800/transfer_id/430986
S04,B04,FC Schalke 04,Bayer 04 Leverkusen,Hans Sarpei,400.000,2,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/707/transfer_id/472549
S04,UKR1,FC Schalke 04,Karpaty Lviv,Danilo Avelar,100.000,2,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/140748/transfer_id/530510
S04,FRA1,FC Schalke 04,LOSC Lille,Nicolas Plestan,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/15276/transfer_id/474497
S04,ESP1,FC Schalke 04,Real Madrid,Raul,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/123/transfer_id/414024
S04,IRA1,FC Schalke 04,Steel Azin FC,Ali Karimi,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/15412/transfer_id/534393
S04,FCK,FC Schalke 04,1.FC Kaiserslautern,Erik Jendrisek,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/41369/transfer_id/416691
S04,ESP1,FC Schalke 04,Real Madrid,Christoph Metzelder,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/123/transfer_id/4140244
S04,M05,FC Schalke 04,1.FSV Mainz 05,Tim Hoogland,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/18833/transfer_id/377764
ITA1,S04,Genua CFC,FC Schalke 04,Rafinha,8.000.000,6,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/33947/transfer_id/462172
ESP1,S04,FC Sevilla,FC Schalke 04,Ivan Rakitic,2.500.000,5,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/32467/transfer_id/532850
ENG1,S04,Blackburn Rovers,FC Schalke 04,Jermaine Jones,700.000,4,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1321/transfer_id/526500
ITA1,S04,US Lecce,FC Schalke 04,Tore Reiniussen,150.000,3,2,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/41328/transfer_id/458472
NOR1,S04,Tromso IL,FC Schalke 04,Tore Reiniussen,100.000,3,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/41328/transfer_id/553944
ITA1,S04,US Lecce,FC Schalke 04,Carlos Grossmueller,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/50791/transfer_id/458672
TUR1,S04,Goeztepe,FC Schalke 04,Emin Yalin,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/82886/transfer_id/453989
QAT1,S04,Al Rayyan SC,FC Schalke 04,Marcelo Bordon,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/586/transfer_id/442893
MEX1,S04,CF America,FC Schalke 04,Vicente Sanchez,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/53060/transfer_id/439467
BRA1,S04,Vasco da Gama Rio de Janeiro,FC Schalke 04,Ze Roberto,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/52708/transfer_id/418062
RUS1,S04,Dinamo Moskau,FC Schalke 04,Kevin Kuranyi,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1331/transfer_id/417702
BMG,BEL1,Borussia Moenchengladbach,Standard Luettich,Igor de Camargo,4.000.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/13023/transfer_id/413959
BMG,BRA2,Borussia Moenchengladbach,Tombense Futebol Clube,Bamba Andersono,1.500.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/78553/transfer_id/411074
BMG,RUS1,Borussia Moenchengladbach,Spartak Moskau,Martin Stranzl,800.000,4,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/568/transfer_id/516029
BMG,TUR1,Borussia Moenchengladbach,Besiktas Istanbul,Michael Fink,700.000,4,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/5059/transfer_id/523048
BMG,GER4,Borussia Moenchengladbach,Preussen Muenster,Jens Wissing,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/50153/transfer_id/392784
BMG,ENG1,Borussia Moenchengladbach,FC Arsenal,Havard Nordtveit,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/42234/transfer_id/516028
BMG,H96,Borussia Moenchengladbach,Hannover 96,Mike Hanke,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1428/transfer_id/512704
BMG,SCF,Borussia Moenchengladbach,SC Freiburg,Mohamadou Idrissou,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1574/transfer_id/417711
GER2,BMG,Hertha BSC,Borussia Moenchengladbach,Rob Friend,1.800.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/37176/transfer_id/439465
ISR1,BMG,Maccabi Tel Aviv,Borussia Moenchengladbach,Gal Alberman,180.000,3,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/24068/transfer_id/474701
GER2,BMG,FC Augsburg,Borussia Moenchengladbach,Jan Ingwer Callsen Bracker,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/3851/transfer_id/516572
GER2,BMG,FC Augsburg,Borussia Moenchengladbach,Thomas Kleine,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1116/transfer_id/410010
GER2,BMG,Arminia Bielefeld,Borussia Moenchengladbach,Oliver Neuville,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/81/transfer_id/410007
ISR1,BMG,Maccabi Tel Aviv,Borussia Moenchengladbach,Roberto Colautti,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/24463/transfer_id/409583
GER2,BMG,Rot Weiss Oberhausen,Borussia Moenchengladbach,Mosos Lamidi,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/36193/transfer_id/396746
GRE1,BMG,Aris Thessaloniki,Borussia Moenchengladbach,Raul Bobadilla,,1,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/51356/transfer_id/530958
NED1,BMG,Feyenoord Rotterdam,Borussia Moenchengladbach,Marcel Meeuwis,,1,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/4573/transfer_id/534443
GER3,BMG,SV Sandhausen,Borussia Moenchengladbach,Frederic Loehe,20.000,2,2,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/36194/transfer_id/420150
ENG1,BMG,Aston Villa,Borussia Moenchengladbach,Michael Bradley,,1,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/30593/transfer_id/534672
B04,CRO1,Bayer 04 Leverkusen,NK Osijek,Domagoj Vida,2.400.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/46083/transfer_id/414391
B04,HSV,Bayer 04 Leverkusen,Hannover 96,Sidney Sam,2.000.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/39102/transfer_id/419705
B04,DNK2,Bayer 04 Leverkusen,Akademisk Boldklub,Nicolai Joergensen,800.000,4,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/100399/transfer_id/444342
B04,CRO1,Bayer 04 Leverkusen,HNK Rijeka,Zvonko Pamic,500.000,3,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/47624/transfer_id/412514
B04,JAP1,Bayer 04 Leverkusen,Urawa Red Diamonds,Hajime Hosogai,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/79355/transfer_id/512924
B04,H96,Bayer 04 Leverkusen,Hannover 96,Hanno Balitsch,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/823/transfer_id/421776
B04,ENG1,Bayer 04 Leverkusen,FC Chelsea,Michael Ballack,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/63/transfer_id/430268
B04,GER2,Bayer 04 Leverkusen,SpVgg Greuther Fuerth,Kevin Kampl,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53418/transfer_id/511270
GER2,B04,Alemannia Aachen,Bayer 04 Leverkusen,Tomasz Zdebel,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/3836/transfer_id/409312
GER2,B04,Fortuna Duesseldorf,Bayer 04 Leverkusen,Sascha Dum,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/20551/transfer_id/427008
GER2,B04,FC Augsburg,Bayer 04 Leverkusen,Lukas Sinkiewicz,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/17134/transfer_id/453962
GER2,B04,SpVgg Greuther Fuerth,Bayer 04 Leverkusen,Kevin Kampl,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/53418/transfer_id/473986
GER2,B04,FC Augsburg,Bayer 04 Leverkusen,Hajime Hosogai,,1,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/79355/transfer_id/512925
GER2,B04,SpVgg Greuther Fuerth,Bayer 04 Leverkusen,Burak Kaplan,,1,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/61003/transfer_id/532392
VFB,ITA1,VfB Stuttgart,Juventus Turin,Cristian Molinaro,3.900.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/21972/transfer_id/424248
VFB,FCB,VfB Stuttgart,FC Bayern Muenchen,Georg Niedermeier,3.500.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/31570/transfer_id/390577
VFB,FRA1,VfB Stuttgart,FC Valenciennes,Johan Audel,2.500.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/5544/transfer_id/464426
VFB,ITA1,VfB Stuttgart,Juventus Turin,Mauro Camoranesi,2.000.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/5762/transfer_id/474484
VFB,FRA3,VfB Stuttgart,RC Strassburg Alsace,Mamadou Bah,600.000,4,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/51282/transfer_id/474541
VFB,BRE,VfB Stuttgart,SV Werder Bremen,Martin Harnik,300.000,3,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/31159/transfer_id/414037
VFB,BVB,VfB Stuttgart,Borussia Dortmund,Marc Ziegler,300.000,3,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/162/transfer_id/418162
VFB,WOL,VfB Stuttgart,VfL Wolfsburg,Christian Gentner,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/19112/transfer_id/376716
VFB,JAP1,VfB Stuttgart,Shimizu S Pulse,Shinji Okazaki,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/79642/transfer_id/533703
VFB,BVB,VfB Stuttgart,Borussia Dortmund,Tamas Hajnal,,1,2,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/264/transfer_id/534573
VFB,ENG1,VfB Stuttgart,FC Liverpool,Philipp Degen,,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/2895/transfer_id/463600
ESP1,VFB,Real Madrid,VfB Stuttgart,Sami Khedira,14.000.000,7,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/29401/transfer_id/459083
FRA1,VFB,FC Stade Rennes,VfB Stuttgart,Georges Mandjeck,1.200.000,5,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/52112/transfer_id/438643
TUR1,VFB,Besiktas Istanbul,VfB Stuttgart,Roberto Hilbert,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/3256/transfer_id/414828
MEX1,VFB,CF Monterrey,VfB Stuttgart,Ricardo Osorio,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/31352/transfer_id/339975
ARG1,VFB,Club Atletico Lanus,VfB Stuttgart,Mauro Camoranesi,0,1,1,2011,2,https://www.transfermarkt.de/jumplist/transfers/spieler/5762/transfer_id/531863
SUI1,VFB,Gasshoppers Club Zuerich,VfB Stuttgart,Alessandro Riedle,,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/86506/transfer_id/440758
H96,NOR1,Hannover 96,Valerenga Fotball,Mohammed Abdellaoue,1.000.000,4,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/61901/transfer_id/468093
H96,ENG2,Hannover 96,FC Middlesbrough,Emanuel Pongatetz,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/1094/transfer_id/425413
H96,SUI1,Hannover 96,FC Basel 1893,Carlitos,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/17352/transfer_id/449548
H96,SCO1,Hannover 96,Glasgow Rangers,DaMarcus Beasley,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/20584/transfer_id/427076
H96,GER2,Hannover 96,Rot Weiss Oberhausen,Moritz Stoppelkamp,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/32845/transfer_id/417473
H96,GER2,Hannover 96,Karlsruher SC,Markus Miller,0,1,1,2010,1,https://www.transfermarkt.de/jumplist/transfers/spieler/2306/transfer_id/416950
