from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,year,transferfenster,transferid
FCB,ENG1,,Manchester City,Leroy Sané,45000000,7,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/192565/transfer_id/2954050
FCB,ESP2,,Espanyol Barcelona,Marc Roca,9000000,6,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/336869/transfer_id/3086999
FCB,FRA1,,Olympique Marseille,Bouna Sarr,8000000,6,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/190685/transfer_id/3088708
FCB,ITA1,,Juventus Turin,Douglas Costa,250000,3,2,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/75615/transfer_id/3088460
FCB,S04,,,Alexander Nübel,0,1,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/195778/transfer_id/2744120
FCB,FRA1,,FC Paris Saint-Germain,Tanguy Nianzou,0,1,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/538996/transfer_id/2951022
FCB,FRA1,,FC Paris Saint-Germain,Eric Maxim Choupo-Moting,0,1,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/45660/transfer_id/3088436
FCB,POR1,,Benfica Lissabon,Tiago Dantas,0,1,2,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/429987/transfer_id/3090732
ENG1,FCB,FC Liverpool,,Thiago Alcántara,22000000,7,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/60444/transfer_id/3066830
GER2,FCB,Hamburger SV,,Sven Ulreich,0,1,1,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/40680/transfer_id/3086126
GER2,FCB,1.FC Nürnberg,,Christian Früchtl,0,1,2,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/336307/transfer_id/3005185
FRA1,FCB,Olympique Marseille,,Michaël Cuisance,0,1,2,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/344600/transfer_id/3089204
GER2,FCB,SV Darmstadt 98,,Lars Lukas Mai,0,1,2,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/345780/transfer_id/2980169
NED1,FCB,PSV Eindhoven,,Adrian Fein,0,1,2,2020,1,https://www.transfermarkt.de/jumplist/transfers/spieler/379979/transfer_id/3090907
