id,name,type,level
FCB,FC Bayern München,1,
S04,FC Schalke 04,1,
BVB,Borussia Dortmund,1,
VFB,VfB Stuttgart,1,
TSG,TSG 1899 Hoffenheim,1,
SCF,SC Freiburg,1,
B04,Bayer 04 Leverkusen,1,
UNI,1. FC Union Berlin,1,
BMG,Borussia Mönchengladbach,1,
BRE,SV Werder Bremen,1,
F95,Fortuna Düsseldorf,1,
BSC,Hertha BSC,1,
PAD,SC Paderborn,1,
SGE,Eintracht Frankfurt,1,
KOE,1. FC Köln,1,
M05,1. FSV Mainz 05,1,
WOL,VfL Wolfsburg,1,
FCN,1. FC Nürnberg,1,
RBL,RB Leipzig,1,
HSV,Hamburger SV,1,
H96,Hannover 96,1,
D98,SV Darmstadt 98,1,
FCI,FC Ingolstadt,1,
FCA,FC Augsburg,1,
ENG2,Zweite englische Liga,2,3
ESP1,Erste spanische Liga,2,1
JAP1,Erste japanische Liga,2,3
FRA2,Zweite französische Liga,2,3
ITA3,Dritte italienische Liga,2,3
DNK1,Erste dänische Liga,2,2
GER3,Dritte deutsche Liga,2,3
SCO1,Erste schottische Liga,2,2
AUT1,Erste österreichische Liga,2,2
ARG1,Erste argentinische Liga,2,3
USA1,Erste Liga der Vereinigsten Staaten,2,2
CHN1,Erste chinesische Liga,2,2
GER4,Vierte deutsche Liga,2,3
TUR1,Erste türkische Liga,2,2
NED2,Zweite niederländische Liga,2,3
SVK1,Erste slovakische Liga,2,3
BEL1,Erste belgische Liga,2,2
CRO1,Erste kroatische Liga,2,3
GER5,Fünfte deutsche Liga,2,3
KOR1,Erste südkoreanische Liga,2,3
SUI1,Erste schweizerische Liga,2,2
RUS1,Erste russische Liga,2,2
UKR1,Erste ukrainische Liga,2,2
GRE1,Erste griechische Liga,2,2
ZYP1,Erste zyprische Liga,2,2
NOR1,Erste norwegische Liga,2,2
SWE1,Erste schwedische Liga,2,3
CZE1,Erste tschechische Liga,2,2
POL1,Erste polnische Liga,2,3
ITA2,Zweite italienische Liga,2,3
SAU1,Erste saudiarabische Liga,2,3
BRA1,Erste brasilianische Liga,2,2
ENG1,Erste englische Liga,2,1
ESP2,Zweite spanische Liga,2,3
FRA1,Erste französische Liga,2,1
ITA1,Erste italienische Liga,2,1
POR1,Erste portugiesische Liga,2,2
GER2,Zweite deutsche Liga,2,3
NED1,Erste niederländische Liga,2,2
